Gene function,Gene,Chromosome,snpeff,Species,"FST, RAiSD",FST,RAiSD,
Gene expression,ELP4,5,0,Pyrrhuloxia,,,1,
Gene expression,EARS2,14,0,Pyrrhuloxia,,,1,
Gene expression,TSEN54,18,0,Pyrrhuloxia,,,1,
Gene expression,RTCB,1A,0,Pyrrhuloxia,,,1,
insulin-like growth factor receptor signaling pathway,GIGYF2,9,0,Pyrrhuloxia,,1,,
insulin-like growth factor receptor signaling pathway,IGF1,1A,0,Pyrrhuloxia,,1,,
Metabolic process,G6PC2,7,1,Pyrrhuloxia,,1,,
Metabolic process,SNX7,8,1,Pyrrhuloxia,,1,,
Metabolic process,NUP85,18,1,Pyrrhuloxia,,1,,
Metabolic process,SUMO2,18,0,Pyrrhuloxia,,1,,
Metabolic process,MTMR4,19,1,Pyrrhuloxia,,1,,
Metabolic process,EI24,24,1,Pyrrhuloxia,,1,,
Metabolic process,PIP5K1C,28,1,Pyrrhuloxia,,1,,
Metabolic process,PLCE1,28,1,Pyrrhuloxia,,1,,
Metabolic process,NCF4,1A,1,Pyrrhuloxia,,1,,
Metabolic process,NDUFA9,1A,1,Pyrrhuloxia,,1,,
Metabolic process,RAB19,1A,1,Pyrrhuloxia,,1,,
Nervous system,TRAK1,2,1,Pyrrhuloxia,,1,,
Nervous system,RUNX2,3,0,Pyrrhuloxia,,1,,
Nervous system,GPM6A,4,0,Pyrrhuloxia,,1,,
Nervous system,TENM3,4,0,Pyrrhuloxia,,1,,
Nervous system,NAV2,5,1,Pyrrhuloxia,,1,,
Nervous system,ABI2,7,1,Pyrrhuloxia,,1,,
Nervous system,ERBB4,7,0,Pyrrhuloxia,,1,,
Nervous system,IGF2BP2,9,1,Pyrrhuloxia,,1,,
Nervous system,NYAP2,9,1,Pyrrhuloxia,,1,,
Nervous system,SEMA6D,10,0,Pyrrhuloxia,,1,,
Nervous system,RBFOX1,14,0,Pyrrhuloxia,,1,,
Nervous system,KIRREL3,24,0,Pyrrhuloxia,,1,,
Nervous system,NTN4,1A,1,Pyrrhuloxia,,1,,
Nervous system,WNT16,1A,1,Pyrrhuloxia,,1,,
"Nervous system, secretory granule organization",DTNBP1,2,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,CTSC,1,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,DYRK1A,1,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,MAN1A2,1,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,PPP2R3B,1,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,ANKIB1,2,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,CDK14,2,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,DROSHA,2,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,BABAM2,3,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,RNGTT,3,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,TASP1,3,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,CSGALNACT1,4,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,CTSO,4,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,TDO2,4,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,UBA6,4,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,FUT8,5,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,PRKCH,5,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,EIF3F,6,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,ENTPD1,6,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,LOXL4,6,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,NOC3L,6,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,KYNU,7,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,MTA1,8,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,DCUN1D1,9,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,RNF13,9,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,SENP2,9,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,TRIP12,9,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,ARIH1,10,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,HEXA,10,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,OTUD7A,10,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,PBRM1,12,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,PDPK1,14,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,UBE2I,14,0,Pyrrhuloxia,,1,,
Nitrogen metabolism,RNF43,19,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,GGT7,20,1,Pyrrhuloxia,,1,,
Nitrogen metabolism,STK4,20,1,Pyrrhuloxia,,1,,
Phosphatase,PPP6R3,5,1,Pyrrhuloxia,,1,,
Phosphatase,PPP6R2,1A,1,Pyrrhuloxia,,1,,
proton transmembrane transport,ATP1A1,1,0,Pyrrhuloxia,,,1,
proton transmembrane transport,ATP6V1G1,17,0,Pyrrhuloxia,,,1,
proton transmembrane transport,OTOP2,18,0,Pyrrhuloxia,,,1,
proton transmembrane transport,OTOP3,18,0,Pyrrhuloxia,,,1,
regulation of centrosome duplication,SPICE1,1,0,Pyrrhuloxia,,,1,
regulation of centrosome duplication,NPM1,13,0,Pyrrhuloxia,,,1,
tissue regeneration,GAP43,1,0,Pyrrhuloxia,,1,1,
